,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
19,2278.0,1985.0,2n Cycle,Single,33812.0,1.0,0.0,3/11/19,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,9360.0,1982.0,Graduation,Married,37040.0,0.0,0.0,8/8/19,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5376.0,1979.0,Graduation,Married,2447.0,1.0,0.0,6/1/20,42.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1993.0,1949.0,PhD,Married,58607.0,0.0,1.0,23/12/19,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,4047.0,1954.0,PhD,Married,65324.0,0.0,1.0,11/1/21,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1409.0,1951.0,Graduation,Together,40689.0,0.0,1.0,18/3/20,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7892.0,1969.0,Graduation,Single,18589.0,0.0,0.0,2/1/20,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2404.0,1976.0,Graduation,Married,53359.0,1.0,1.0,27/5/20,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,9422.0,1989.0,Graduation,Married,38360.0,1.0,0.0,31/5/20,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1966.0,1965.0,PhD,Married,84618.0,0.0,0.0,22/11/20,96.0,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,6864.0,1989.0,Master,Divorced,10979.0,0.0,0.0,22/5/21,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3033.0,1963.0,Master,Together,38620.0,0.0,0.0,11/5/20,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5710.0,1970.0,Graduation,Together,40548.0,0.0,1.0,10/10/19,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,7373.0,1952.0,PhD,Divorced,46610.0,0.0,2.0,29/10/19,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,8755.0,1946.0,Master,Married,68657.0,0.0,0.0,20/2/20,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10738.0,1951.0,Master,Single,49389.0,1.0,1.0,29/8/20,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4339.0,1970.0,PhD,Married,67353.0,0.0,1.0,31/12/20,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,10755.0,1976.0,2n Cycle,Married,23718.0,1.0,0.0,2/9/20,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8595.0,1973.0,Graduation,Widow,42429.0,0.0,1.0,11/2/21,99.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2968.0,1943.0,PhD,Divorced,48948.0,0.0,0.0,1/2/20,53.0,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,8601.0,1980.0,Graduation,Married,80011.0,0.0,1.0,29/4/20,3.0,421.0,76.0,536.0,82.0,178.0,102.0,2.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,503.0,1985.0,Master,Married,20559.0,1.0,0.0,12/3/20,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8430.0,1957.0,Graduation,Together,21994.0,0.0,1.0,24/12/19,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2139.0,1975.0,Master,Married,7500.0,1.0,0.0,2/10/20,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1371.0,1976.0,Graduation,Single,79941.0,0.0,0.0,28/6/21,72.0,123.0,164.0,266.0,227.0,30.0,174.0,1.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,9909.0,1996.0,2n Cycle,Married,7500.0,0.0,0.0,9/11/19,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,7286.0,1968.0,Graduation,Together,41728.0,1.0,0.0,24/5/20,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,6566.0,1954.0,PhD,Married,72550.0,1.0,1.0,8/11/19,39.0,826.0,50.0,317.0,50.0,38.0,38.0,9.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8614.0,1957.0,Graduation,Widow,65486.0,0.0,1.0,12/5/21,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,4114.0,1964.0,Master,Married,79143.0,0.0,0.0,11/8/19,2.0,650.0,37.0,780.0,27.0,167.0,32.0,1.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1331.0,1977.0,Graduation,Single,35790.0,1.0,0.0,2/1/20,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2225.0,1977.0,Graduation,Divorced,82582.0,0.0,0.0,7/6/21,54.0,510.0,120.0,550.0,156.0,40.0,241.0,1.0,4.0,9.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
54,9381.0,1978.0,Graduation,Married,66373.0,1.0,1.0,12/6/20,57.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,6260.0,1955.0,Master,Together,82384.0,0.0,0.0,19/11/19,55.0,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
56,10383.0,1966.0,Graduation,Divorced,70287.0,0.0,0.0,2/4/20,30.0,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,7437.0,1988.0,Graduation,Single,27938.0,1.0,0.0,28/4/21,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,8375.0,1968.0,PhD,Married,55954.0,0.0,1.0,3/3/21,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,6853.0,1982.0,Master,Single,75777.0,0.0,0.0,4/7/20,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
61,3076.0,1975.0,Graduation,Together,66653.0,1.0,1.0,7/9/19,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1012.0,1952.0,Graduation,Single,61823.0,0.0,1.0,18/2/20,26.0,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,6518.0,1951.0,PhD,Widow,67680.0,0.0,1.0,11/6/20,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,4137.0,1948.0,Graduation,Together,70666.0,0.0,0.0,6/12/20,29.0,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8082.0,1971.0,Graduation,Married,25721.0,1.0,0.0,21/5/20,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,1386.0,1967.0,Graduation,Together,32474.0,1.0,1.0,11/5/21,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,9369.0,1979.0,2n Cycle,Single,88194.0,0.0,1.0,19/3/21,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
68,4477.0,1958.0,Graduation,Together,69096.0,0.0,1.0,27/9/20,4.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1357.0,1970.0,Graduation,Together,74854.0,1.0,2.0,8/4/20,90.0,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1402.0,1954.0,Master,Married,66991.0,0.0,0.0,11/9/19,1.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,6312.0,1959.0,Graduation,Married,65031.0,0.0,1.0,17/3/20,29.0,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,8132.0,1975.0,PhD,Married,60631.0,1.0,1.0,5/4/20,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,1050.0,1952.0,Graduation,Married,28332.0,0.0,0.0,30/4/21,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,5846.0,1977.0,Graduation,Divorced,40246.0,1.0,0.0,19/12/19,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1859.0,1972.0,Master,Married,75251.0,0.0,0.0,27/8/19,34.0,721.0,111.0,925.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,7503.0,1976.0,Graduation,Single,75825.0,0.0,0.0,12/10/19,40.0,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
78,10401.0,1976.0,2n Cycle,Together,26326.0,0.0,0.0,4/9/20,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,1618.0,1965.0,Graduation,Together,56046.0,0.0,0.0,2/1/20,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
80,3332.0,1985.0,Graduation,Single,29760.0,1.0,0.0,29/8/19,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2261.0,1969.0,Graduation,Married,26304.0,1.0,0.0,23/6/20,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,5346.0,1973.0,2n Cycle,Married,23559.0,1.0,0.0,3/7/20,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4119.0,1963.0,Master,Together,38620.0,0.0,0.0,11/5/20,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,535.0,1987.0,Graduation,Divorced,81361.0,0.0,0.0,25/2/21,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,5268.0,1960.0,Graduation,Married,29440.0,1.0,1.0,11/8/20,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,273.0,1970.0,Master,Married,36138.0,1.0,1.0,16/7/20,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,4452.0,1957.0,Graduation,Single,50388.0,0.0,1.0,28/5/21,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
88,8504.0,1973.0,Graduation,Married,79593.0,0.0,0.0,12/5/21,70.0,350.0,60.0,568.0,110.0,133.0,145.0,1.0,5.0,6.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,771.0,1967.0,Graduation,Together,54178.0,0.0,1.0,21/1/21,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,11178.0,1972.0,Master,Single,42394.0,1.0,0.0,23/3/21,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2230.0,1970.0,PhD,Married,23626.0,1.0,0.0,24/5/21,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,7516.0,1983.0,Graduation,Married,30096.0,1.0,0.0,22/5/21,30.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,7247.0,1960.0,Graduation,Widow,47916.0,0.0,1.0,22/11/19,72.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,11100.0,1972.0,Graduation,Divorced,51813.0,1.0,1.0,11/4/20,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4646.0,1951.0,2n Cycle,Married,78497.0,0.0,0.0,1/12/20,44.0,207.0,26.0,447.0,75.0,0.0,223.0,1.0,5.0,7.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,3037.0,1983.0,PhD,Married,50150.0,0.0,0.0,20/6/20,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1473.0,1960.0,2n Cycle,Single,47823.0,0.0,1.0,23/7/20,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1016.0,1959.0,PhD,Single,34554.0,0.0,1.0,30/3/21,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4518.0,1979.0,Graduation,Together,85693.0,0.0,1.0,20/4/20,59.0,386.0,172.0,183.0,185.0,132.0,111.0,2.0,9.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,9370.0,1945.0,PhD,Married,65846.0,0.0,0.0,17/5/20,68.0,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,8908.0,1959.0,Graduation,Married,87195.0,0.0,0.0,8/5/21,35.0,217.0,76.0,690.0,50.0,26.0,38.0,1.0,3.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,8373.0,1979.0,Basic,Together,24594.0,1.0,0.0,10/12/20,94.0,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,7533.0,1964.0,Graduation,Married,49096.0,1.0,1.0,24/9/20,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2683.0,1969.0,Graduation,Married,52413.0,0.0,2.0,2/2/20,56.0,295.0,106.0,271.0,75.0,98.0,65.0,4.0,6.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,3629.0,1978.0,Graduation,Single,38557.0,1.0,0.0,19/12/19,17.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,10991.0,1960.0,Master,Married,89058.0,0.0,0.0,7/12/19,18.0,454.0,194.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,5077.0,1979.0,Graduation,Together,77298.0,0.0,1.0,2/11/20,46.0,425.0,115.0,292.0,23.0,35.0,79.0,1.0,6.0,6.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,7431.0,1991.0,PhD,Single,68126.0,0.0,0.0,10/11/19,40.0,1332.0,17.0,311.0,23.0,51.0,86.0,1.0,7.0,4.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
112,3267.0,1963.0,Master,Together,57288.0,0.0,1.0,25/6/21,27.0,527.0,0.0,21.0,0.0,0.0,60.0,3.0,8.0,1.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,999.0,1991.0,Graduation,Single,86037.0,0.0,0.0,2/1/20,95.0,490.0,44.0,125.0,29.0,20.0,22.0,1.0,6.0,7.0,11.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
114,9215.0,1980.0,PhD,Married,43974.0,1.0,0.0,12/12/19,19.0,378.0,0.0,101.0,0.0,0.0,72.0,5.0,6.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2286.0,1962.0,Graduation,Single,50785.0,1.0,1.0,10/9/20,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1592.0,1970.0,Graduation,Married,90765.0,0.0,0.0,24/1/21,25.0,547.0,99.0,812.0,151.0,82.0,33.0,0.0,4.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
117,367.0,1978.0,2n Cycle,Married,36550.0,1.0,0.0,19/2/20,74.0,47.0,90.0,94.0,123.0,103.0,120.0,5.0,9.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,5234.0,1967.0,2n Cycle,Together,30753.0,1.0,1.0,11/7/20,85.0,12.0,5.0,25.0,0.0,9.0,30.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,9862.0,1969.0,Graduation,Together,21918.0,1.0,0.0,14/11/20,37.0,1.0,6.0,7.0,11.0,5.0,3.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,9805.0,1953.0,Master,Together,56129.0,0.0,1.0,20/6/20,65.0,320.0,48.0,133.0,39.0,72.0,48.0,4.0,6.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,6205.0,1967.0,Master,Single,32557.0,1.0,0.0,24/2/21,13.0,34.0,3.0,29.0,0.0,4.0,10.0,3.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,8442.0,1985.0,Master,Married,19510.0,2.0,0.0,4/9/20,63.0,9.0,0.0,7.0,3.0,4.0,7.0,2.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,7386.0,1976.0,Graduation,Divorced,30992.0,1.0,0.0,22/4/20,83.0,17.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,7215.0,1983.0,Graduation,Single,101970.0,0.0,0.0,12/3/20,69.0,722.0,27.0,102.0,44.0,72.0,168.0,0.0,6.0,8.0,13.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
125,1491.0,1965.0,2n Cycle,Together,71488.0,0.0,0.0,18/2/20,87.0,162.0,33.0,124.0,40.0,28.0,172.0,2.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,11071.0,1984.0,Graduation,Single,79607.0,0.0,0.0,21/4/20,37.0,450.0,133.0,951.0,173.0,0.0,216.0,1.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
